density,agents,seed,method,success,expansions,cost,runtime
0.0,8,28,cardinal+bp,1,10,42,0.00271
0.0,8,28,linear,1,8,42,0.0026
0.0,8,28,linear+bp,1,10,42,0.00308
0.0,8,29,cardinal,1,3,49,0.00113
0.0,8,29,cardinal+bp,1,3,49,0.00097
0.0,8,29,linear,1,3,49,0.0015
0.0,8,29,linear+bp,1,3,49,0.001
0.0,8,30,cardinal,1,4,49,0.00151
0.0,8,30,cardinal+bp,1,4,49,0.00117
0.0,8,30,linear,1,5,49,0.00199
0.0,8,30,linear+bp,1,6,49,0.00167
0.0,8,31,cardinal,1,7,51,0.00265
0.0,8,31,cardinal+bp,1,9,51,0.00329
0.0,8,31,linear,1,10,51,0.00371
0.0,8,31,linear+bp,1,14,51,0.00544
0.0,8,32,cardinal,1,3,40,0.00125
0.0,8,32,cardinal+bp,1,3,40,0.00108
0.0,8,32,linear,1,3,40,0.00136
0.0,8,32,linear+bp,1,3,40,0.00111
0.0,8,33,cardinal,1,2,39,0.00056
0.0,8,33,cardinal+bp,1,2,39,0.00047
0.0,8,33,linear,1,2,39,0.00063
0.0,8,33,linear+bp,1,2,39,0.0005
0.0,8,34,cardinal,1,5,46,0.00275
0.0,8,34,cardinal+bp,1,7,46,0.00356
0.0,8,34,linear,1,5,46,0.0026
0.0,8,34,linear+bp,1,7,46,0.00408
0.0,8,35,cardinal,1,5,50,0.00262
0.0,8,35,cardinal+bp,1,6,50,0.00285
0.0,8,35,linear,1,5,50,0.00275
0.0,8,35,linear+bp,1,6,50,0.00316
0.0,8,36,cardinal,1,3,47,0.00113
0.0,8,36,cardinal+bp,1,3,47,0.00108
0.0,8,36,linear,1,3,47,0.00126
0.0,8,36,linear+bp,1,3,47,0.00108
0.0,8,37,cardinal,1,6,45,0.00212
0.0,8,37,cardinal+bp,1,9,45,0.0026
0.0,8,37,linear,1,6,45,0.00239
0.0,8,37,linear+bp,1,8,45,0.00331
0.0,8,38,cardinal,1,3,32,0.00074
0.0,8,38,cardinal+bp,1,3,32,0.00053
0.0,8,38,linear,1,3,32,0.00082
0.0,8,38,linear+bp,1,3,32,0.00055
0.0,8,39,cardinal,1,12,51,0.0041
0.0,8,39,cardinal+bp,1,22,51,0.0087
0.0,8,39,linear,1,12,51,0.00444
0.0,8,39,linear+bp,1,22,51,0.0092
0.0,8,40,cardinal,1,3,44,0.00117
0.0,8,40,cardinal+bp,1,3,44,0.00107
0.0,8,40,linear,1,3,44,0.00123
0.0,8,40,linear+bp,1,3,44,0.00111
0.0,8,41,cardinal,1,5,46,0.00216
0.0,8,41,cardinal+bp,1,5,46,0.00144
0.0,8,41,linear,1,5,46,0.00432
0.0,8,41,linear+bp,1,5,46,0.00153
0.0,8,42,cardinal,1,8,35,0.00229
0.0,8,42,cardinal+bp,1,9,35,0.00339
0.0,8,42,linear,1,8,35,0.0021
0.0,8,42,linear+bp,1,9,35,0.0023
0.0,8,43,cardinal,1,3,56,0.00147
0.0,8,43,cardinal+bp,1,3,56,0.00157
0.0,8,43,linear,1,3,56,0.00139
0.0,8,43,linear+bp,1,3,56,0.00173
0.0,8,44,cardinal,1,9,41,0.00315
0.0,8,44,cardinal+bp,1,10,41,0.00355
0.0,8,44,linear,1,9,41,0.00359
0.0,8,44,linear+bp,1,11,41,0.0048
0.0,8,45,cardinal,1,5,56,0.00227
0.0,8,45,cardinal+bp,1,5,56,0.00192
0.0,8,45,linear,1,5,56,0.00261
0.0,8,45,linear+bp,1,5,56,0.00226
0.0,8,46,cardinal,1,5,41,0.00238
0.0,8,46,cardinal+bp,1,6,41,0.00289
0.0,8,46,linear,1,5,41,0.00245
0.0,8,46,linear+bp,1,6,41,0.0029
0.0,8,47,cardinal,1,4,45,0.00169
0.0,8,47,cardinal+bp,1,4,45,0.00127
0.0,8,47,linear,1,6,45,0.00301
0.0,8,47,linear+bp,1,6,45,0.00186
0.0,8,48,cardinal,1,1,35,0.00029
0.0,8,48,cardinal+bp,1,1,35,0.00029
0.0,8,48,linear,1,1,35,0.00028
0.0,8,48,linear+bp,1,1,35,0.00028
0.0,8,49,cardinal,1,4,54,0.00192
0.0,8,49,cardinal+bp,1,4,54,0.00134
0.0,8,49,linear,1,5,54,0.00194
0.0,8,49,linear+bp,1,5,54,0.00161
0.0,10,0,cardinal,1,3,48,0.00082
0.0,10,0,cardinal+bp,1,3,48,0.00064
0.0,10,0,linear,1,3,48,0.00091
0.0,10,0,linear+bp,1,3,48,0.00072
0.0,10,1,cardinal,1,6,57,0.00259
0.0,10,1,cardinal+bp,1,6,57,0.00167
0.0,10,1,linear,1,5,57,0.00237
0.0,10,1,linear+bp,1,5,57,0.00153
0.0,10,2,cardinal,1,5,56,0.00174
0.0,10,2,cardinal+bp,1,5,56,0.00185
0.0,10,2,linear,1,5,56,0.00214
0.0,10,2,linear+bp,1,5,56,0.00199
0.0,10,3,cardinal,1,9,51,0.00273
0.0,10,3,cardinal+bp,1,8,51,0.00293
0.0,10,3,linear,1,9,51,0.00295
0.0,10,3,linear+bp,1,8,51,0.00334
0.0,10,4,cardinal,1,12,46,0.00371
0.0,10,4,cardinal+bp,1,12,46,0.00432
0.0,10,4,linear,1,10,46,0.00355
0.0,10,4,linear+bp,1,11,46,0.00394
0.0,10,5,cardinal,1,6,55,0.00211
0.0,10,5,cardinal+bp,1,6,55,0.0024
0.0,10,5,linear,1,6,55,0.00241
0.0,10,5,linear+bp,1,6,55,0.00236
0.0,10,6,cardinal,1,4,63,0.00203
0.0,10,6,cardinal+bp,1,4,63,0.00153
0.0,10,6,linear,1,4,63,0.00222
0.0,10,6,linear+bp,1,4,63,0.00172
0.0,10,7,cardinal,1,13,69,0.00632
0.0,10,7,cardinal+bp,1,14,69,0.00812
0.0,10,7,linear,1,13,69,0.00722
0.0,10,7,linear+bp,1,15,69,0.00793
0.0,10,8,cardinal,1,10,54,0.00445
0.0,10,8,cardinal+bp,1,10,54,0.00543
0.0,10,8,linear,1,9,54,0.00422
0.0,10,8,linear+bp,1,10,54,0.00605
0.0,10,9,cardinal,1,6,52,0.00277
0.0,10,9,cardinal+bp,1,6,52,0.00267
0.0,10,9,linear,1,6,52,0.00295
0.0,10,9,linear+bp,1,6,52,0.00279
0.0,10,10,cardinal,1,4,64,0.00241
0.0,10,10,cardinal+bp,1,4,64,0.00144
0.0,10,10,linear,1,3,64,0.00185
0.0,10,10,linear+bp,1,3,64,0.00129
0.0,10,11,cardinal,1,4,46,0.00144
0.0,10,11,cardinal+bp,1,4,46,0.00166
0.0,10,11,linear,1,4,46,0.00159
0.0,10,11,linear+bp,1,4,46,0.0018
0.0,10,12,cardinal,1,3,58,0.00128
0.0,10,12,cardinal+bp,1,3,58,0.0012
0.0,10,12,linear,1,3,58,0.00136
0.0,10,12,linear+bp,1,3,58,0.00121
0.0,10,13,cardinal,1,6,49,0.00213
0.0,10,13,cardinal+bp,1,6,49,0.00194
0.0,10,13,linear,1,6,49,0.00238
0.0,10,13,linear+bp,1,6,49,0.002
0.0,10,14,cardinal,1,3,47,0.00128
0.0,10,14,cardinal+bp,1,3,47,0.00118
0.0,10,14,linear,1,3,47,0.00138
0.0,10,14,linear+bp,1,3,47,0.00125
0.0,10,15,cardinal,1,2,44,0.00061
0.0,10,15,cardinal+bp,1,2,44,0.00052
0.0,10,15,linear,1,2,44,0.00065
0.0,10,15,linear+bp,1,2,44,0.00054
0.0,10,16,cardinal,1,28,54,0.01612
0.0,10,16,cardinal+bp,1,14,54,0.01077
0.0,10,16,linear,1,11,54,0.00796
0.0,10,16,linear+bp,1,12,54,0.00984
0.0,10,17,cardinal,1,9,56,0.00385
0.0,10,17,cardinal+bp,1,18,56,0.00944
0.0,10,17,linear,1,10,56,0.00462
0.0,10,17,linear+bp,1,15,56,0.00755
0.0,10,18,cardinal,1,14,50,0.00596
0.0,10,18,cardinal+bp,1,14,50,0.00731
0.0,10,18,linear,1,14,50,0.00645
0.0,10,18,linear+bp,1,14,50,0.00782
0.0,10,19,cardinal,1,13,49,0.00465
0.0,10,19,cardinal+bp,1,14,49,0.00503
0.0,10,19,linear,1,12,49,0.00493
0.0,10,19,linear+bp,1,13,49,0.00539
0.0,10,20,cardinal,1,4,48,0.00158
0.0,10,20,cardinal+bp,1,5,48,0.0019
0.0,10,20,linear,1,4,48,0.00169
0.0,10,20,linear+bp,1,5,48,0.002
0.0,10,21,cardinal,1,19,64,0.00751
0.0,10,21,cardinal+bp,1,24,64,0.0099
0.0,10,21,linear,1,19,64,0.00825
0.0,10,21,linear+bp,1,23,64,0.01024
