density,agents,seed,method,success,expansions,cost
0.0,6,0,cardinal,1,3,29
0.0,6,0,linear,1,3,29
0.0,6,0,mlp,1,3,29
0.0,6,1,cardinal,1,3,37
0.0,6,1,linear,1,3,37
0.0,6,1,mlp,1,2,37
0.0,6,2,cardinal,1,1,28
0.0,6,2,linear,1,1,28
0.0,6,2,mlp,1,1,28
0.0,6,3,cardinal,1,2,30
0.0,6,3,linear,1,2,30
0.0,6,3,mlp,1,2,30
0.0,6,4,cardinal,1,12,33
0.0,6,4,linear,1,12,33
0.0,6,4,mlp,1,12,33
0.0,6,5,cardinal,1,2,29
0.0,6,5,linear,1,2,29
0.0,6,5,mlp,1,2,29
0.0,6,6,cardinal,1,1,39
0.0,6,6,linear,1,1,39
0.0,6,6,mlp,1,1,39
0.0,6,7,cardinal,1,10,38
0.0,6,7,linear,1,6,38
0.0,6,7,mlp,1,11,38
0.0,6,8,cardinal,1,7,30
0.0,6,8,linear,1,7,30
0.0,6,8,mlp,1,7,30
0.0,6,9,cardinal,1,3,35
0.0,6,9,linear,1,3,35
0.0,6,9,mlp,1,3,35
0.0,6,10,cardinal,1,2,40
0.0,6,10,linear,1,2,40
0.0,6,10,mlp,1,2,40
0.0,6,11,cardinal,1,1,26
0.0,6,11,linear,1,1,26
0.0,6,11,mlp,1,1,26
0.0,6,12,cardinal,1,2,33
0.0,6,12,linear,1,2,33
0.0,6,12,mlp,1,2,33
0.0,6,13,cardinal,1,2,31
0.0,6,13,linear,1,2,31
0.0,6,13,mlp,1,2,31
0.0,6,14,cardinal,1,2,33
0.0,6,14,linear,1,2,33
0.0,6,14,mlp,1,2,33
0.0,6,15,cardinal,1,1,30
0.0,6,15,linear,1,1,30
0.0,6,15,mlp,1,1,30
0.0,6,16,cardinal,1,2,26
0.0,6,16,linear,1,2,26
0.0,6,16,mlp,1,2,26
0.0,6,17,cardinal,1,5,27
0.0,6,17,linear,1,5,27
0.0,6,17,mlp,1,5,27
0.0,6,18,cardinal,1,2,24
0.0,6,18,linear,1,2,24
0.0,6,18,mlp,1,2,24
0.0,6,19,cardinal,1,3,22
0.0,6,19,linear,1,3,22
0.0,6,19,mlp,1,3,22
0.0,6,20,cardinal,1,3,25
0.0,6,20,linear,1,3,25
0.0,6,20,mlp,1,3,25
0.0,6,21,cardinal,1,9,41
0.0,6,21,linear,1,9,41
0.0,6,21,mlp,1,10,41
0.0,6,22,cardinal,1,2,38
0.0,6,22,linear,1,2,38
0.0,6,22,mlp,1,2,38
0.0,6,23,cardinal,1,1,40
0.0,6,23,linear,1,1,40
0.0,6,23,mlp,1,1,40
0.0,6,24,cardinal,1,6,28
0.0,6,24,linear,1,7,28
0.0,6,24,mlp,1,6,28
0.0,6,25,cardinal,1,1,34
0.0,6,25,linear,1,1,34
0.0,6,25,mlp,1,1,34
0.0,6,26,cardinal,1,3,29
0.0,6,26,linear,1,3,29
0.0,6,26,mlp,1,3,29
0.0,6,27,cardinal,1,1,22
0.0,6,27,linear,1,1,22
0.0,6,27,mlp,1,1,22
0.0,6,28,cardinal,1,5,32
0.0,6,28,linear,1,5,32
0.0,6,28,mlp,1,6,32
0.0,6,29,cardinal,1,3,33
0.0,6,29,linear,1,3,33
0.0,6,29,mlp,1,3,33
0.0,6,30,cardinal,1,3,41
0.0,6,30,linear,1,3,41
0.0,6,30,mlp,1,3,41
0.0,6,31,cardinal,1,6,40
0.0,6,31,linear,1,4,40
0.0,6,31,mlp,1,6,40
0.0,6,32,cardinal,1,3,33
0.0,6,32,linear,1,3,33
0.0,6,32,mlp,1,3,33
0.0,6,33,cardinal,1,2,30
0.0,6,33,linear,1,2,30
0.0,6,33,mlp,1,2,30
0.0,6,34,cardinal,1,4,40
0.0,6,34,linear,1,4,40
0.0,6,34,mlp,1,4,40
0.0,6,35,cardinal,1,3,37
0.0,6,35,linear,1,3,37
0.0,6,35,mlp,1,3,37
0.0,6,36,cardinal,1,2,33
0.0,6,36,linear,1,2,33
0.0,6,36,mlp,1,2,33
0.0,6,37,cardinal,1,5,38
0.0,6,37,linear,1,5,38
0.0,6,37,mlp,1,5,38
0.0,6,38,cardinal,1,1,24
0.0,6,38,linear,1,1,24
0.0,6,38,mlp,1,1,24
0.0,6,39,cardinal,1,5,35
0.0,6,39,linear,1,5,35
0.0,6,39,mlp,1,5,35
0.0,6,40,cardinal,1,2,37
0.0,6,40,linear,1,2,37
0.0,6,40,mlp,1,2,37
0.0,6,41,cardinal,1,3,31
0.0,6,41,linear,1,3,31
0.0,6,41,mlp,1,3,31
0.0,6,42,cardinal,1,2,25
0.0,6,42,linear,1,2,25
0.0,6,42,mlp,1,2,25
0.0,6,43,cardinal,1,1,41
0.0,6,43,linear,1,1,41
0.0,6,43,mlp,1,1,41
0.0,6,44,cardinal,1,7,30
0.0,6,44,linear,1,7,30
0.0,6,44,mlp,1,6,30
0.0,6,45,cardinal,1,3,43
0.0,6,45,linear,1,3,43
0.0,6,45,mlp,1,3,43
0.0,6,46,cardinal,1,3,32
0.0,6,46,linear,1,3,32
0.0,6,46,mlp,1,3,32
0.0,6,47,cardinal,1,3,29
0.0,6,47,linear,1,4,29
0.0,6,47,mlp,1,4,29
0.0,6,48,cardinal,1,1,27
0.0,6,48,linear,1,1,27
0.0,6,48,mlp,1,1,27
0.0,6,49,cardinal,1,4,41
0.0,6,49,linear,1,4,41
0.0,6,49,mlp,1,4,41
0.0,6,50,cardinal,1,2,29
0.0,6,50,linear,1,2,29
0.0,6,50,mlp,1,2,29
0.0,6,51,cardinal,1,5,27
0.0,6,51,linear,1,5,27
0.0,6,51,mlp,1,5,27
0.0,6,52,cardinal,1,3,37
0.0,6,52,linear,1,3,37
0.0,6,52,mlp,1,3,37
0.0,6,53,cardinal,1,2,36
0.0,6,53,linear,1,2,36
0.0,6,53,mlp,1,3,36
0.0,6,54,cardinal,1,5,32
0.0,6,54,linear,1,5,32
0.0,6,54,mlp,1,5,32
0.0,6,55,cardinal,1,2,28
0.0,6,55,linear,1,2,28
0.0,6,55,mlp,1,3,28
0.0,6,56,cardinal,1,3,34
0.0,6,56,linear,1,3,34
0.0,6,56,mlp,1,3,34
0.0,6,57,cardinal,1,1,37
0.0,6,57,linear,1,1,37
0.0,6,57,mlp,1,1,37
0.0,6,58,cardinal,1,1,29
0.0,6,58,linear,1,1,29
0.0,6,58,mlp,1,1,29
0.0,6,59,cardinal,1,4,32
0.0,6,59,linear,1,4,32
0.0,6,59,mlp,1,4,32
0.0,6,60,cardinal,1,1,21
0.0,6,60,linear,1,1,21
0.0,6,60,mlp,1,1,21
0.0,6,61,cardinal,1,1,34
0.0,6,61,linear,1,1,34
0.0,6,61,mlp,1,1,34
0.0,6,62,cardinal,1,1,31
0.0,6,62,linear,1,1,31
0.0,6,62,mlp,1,1,31
0.0,6,63,cardinal,1,3,31
0.0,6,63,linear,1,3,31
0.0,6,63,mlp,1,3,31
0.0,6,64,cardinal,1,1,32
0.0,6,64,linear,1,1,32
0.0,6,64,mlp,1,1,32
0.0,6,65,cardinal,1,2,23
0.0,6,65,linear,1,3,23
0.0,6,65,mlp,1,3,23
0.0,6,66,cardinal,1,6,41
0.0,6,66,linear,1,5,41
0.0,6,66,mlp,1,6,41
0.0,6,67,cardinal,1,1,18
0.0,6,67,linear,1,1,18
0.0,6,67,mlp,1,1,18
0.0,6,68,cardinal,1,1,29
0.0,6,68,linear,1,1,29
0.0,6,68,mlp,1,1,29
0.0,6,69,cardinal,1,3,26
0.0,6,69,linear,1,3,26
0.0,6,69,mlp,1,3,26
0.0,6,70,cardinal,1,1,25
0.0,6,70,linear,1,1,25
0.0,6,70,mlp,1,1,25
0.0,6,71,cardinal,1,6,34
0.0,6,71,linear,1,6,34
0.0,6,71,mlp,1,19,34
0.0,6,72,cardinal,1,3,33
0.0,6,72,linear,1,3,33
0.0,6,72,mlp,1,3,33
0.0,6,73,cardinal,1,3,47
0.0,6,73,linear,1,3,47
0.0,6,73,mlp,1,3,47
0.0,6,74,cardinal,1,2,32
0.0,6,74,linear,1,2,32
0.0,6,74,mlp,1,2,32
0.0,6,75,cardinal,1,2,39
0.0,6,75,linear,1,2,39
0.0,6,75,mlp,1,2,39
0.0,6,76,cardinal,1,1,25
0.0,6,76,linear,1,1,25
0.0,6,76,mlp,1,1,25
0.0,6,77,cardinal,1,1,31
0.0,6,77,linear,1,1,31
0.0,6,77,mlp,1,1,31
0.0,6,78,cardinal,1,3,33
0.0,6,78,linear,1,3,33
0.0,6,78,mlp,1,3,33
0.0,6,79,cardinal,1,4,33
0.0,6,79,linear,1,4,33
0.0,6,79,mlp,1,4,33
0.0,8,0,cardinal,1,3,39
0.0,8,0,linear,1,3,39
0.0,8,0,mlp,1,3,39
0.0,8,1,cardinal,1,4,47
0.0,8,1,linear,1,3,47
0.0,8,1,mlp,1,3,47
0.0,8,2,cardinal,1,1,43
0.0,8,2,linear,1,1,43
0.0,8,2,mlp,1,1,43
0.0,8,3,cardinal,1,3,40
0.0,8,3,linear,1,3,40
0.0,8,3,mlp,1,3,40
0.0,8,4,cardinal,1,26,42
0.0,8,4,linear,1,27,42
0.0,8,4,mlp,1,72,42
0.0,8,5,cardinal,1,5,39
0.0,8,5,linear,1,5,39
0.0,8,5,mlp,1,5,39
0.0,8,6,cardinal,1,3,50
0.0,8,6,linear,1,3,50
0.0,8,6,mlp,1,3,50
0.0,8,7,cardinal,1,11,53
0.0,8,7,linear,1,10,53
0.0,8,7,mlp,1,13,53
0.0,8,8,cardinal,1,9,45
0.0,8,8,linear,1,9,45
0.0,8,8,mlp,1,8,45
0.0,8,9,cardinal,1,4,50
0.0,8,9,linear,1,4,50
0.0,8,9,mlp,1,4,50
0.0,8,10,cardinal,1,4,54
0.0,8,10,linear,1,3,54
0.0,8,10,mlp,1,3,54
0.0,8,11,cardinal,1,2,35
0.0,8,11,linear,1,2,35
0.0,8,11,mlp,1,2,35
0.0,8,12,cardinal,1,3,43
0.0,8,12,linear,1,3,43
0.0,8,12,mlp,1,3,43
0.0,8,13,cardinal,1,4,43
0.0,8,13,linear,1,4,43
0.0,8,13,mlp,1,4,43
0.0,8,14,cardinal,1,2,42
0.0,8,14,linear,1,2,42
0.0,8,14,mlp,1,2,42
0.0,8,15,cardinal,1,1,37
0.0,8,15,linear,1,1,37
0.0,8,15,mlp,1,1,37
0.0,8,16,cardinal,1,28,41
0.0,8,16,linear,1,11,41
0.0,8,16,mlp,1,10,41
0.0,8,17,cardinal,1,5,37
0.0,8,17,linear,1,5,37
0.0,8,17,mlp,1,6,37
0.0,8,18,cardinal,1,2,37
0.0,8,18,linear,1,2,37
0.0,8,18,mlp,1,2,37
0.0,8,19,cardinal,1,5,33
0.0,8,19,linear,1,5,33
0.0,8,19,mlp,1,5,33
0.0,8,20,cardinal,1,4,38
0.0,8,20,linear,1,4,38
0.0,8,20,mlp,1,4,38
0.0,8,21,cardinal,1,9,56
0.0,8,21,linear,1,10,56
0.0,8,21,mlp,1,9,56
0.0,8,22,cardinal,1,2,49
0.0,8,22,linear,1,2,49
0.0,8,22,mlp,1,2,49
0.0,8,23,cardinal,1,3,49
0.0,8,23,linear,1,3,49
0.0,8,23,mlp,1,4,49
0.0,8,24,cardinal,1,6,45
0.0,8,24,linear,1,7,45
0.0,8,24,mlp,1,7,45
0.0,8,25,cardinal,1,3,42
0.0,8,25,linear,1,3,42
0.0,8,25,mlp,1,2,42
0.0,8,26,cardinal,1,5,35
0.0,8,26,linear,1,6,35
0.0,8,26,mlp,1,5,35
0.0,8,27,cardinal,1,4,42
0.0,8,27,linear,1,5,42
0.0,8,27,mlp,1,7,42
0.0,8,28,cardinal,1,8,42
0.0,8,28,linear,1,8,42
0.0,8,28,mlp,1,9,42
0.0,8,29,cardinal,1,3,49
0.0,8,29,linear,1,3,49
0.0,8,29,mlp,1,3,49
0.0,8,30,cardinal,1,4,49
0.0,8,30,linear,1,5,49
0.0,8,30,mlp,1,5,49
0.0,8,31,cardinal,1,7,51
0.0,8,31,linear,1,10,51
0.0,8,31,mlp,1,7,51
0.0,8,32,cardinal,1,3,40
0.0,8,32,linear,1,3,40
0.0,8,32,mlp,1,3,40
0.0,8,33,cardinal,1,2,39
0.0,8,33,linear,1,2,39
0.0,8,33,mlp,1,2,39
0.0,8,34,cardinal,1,5,46
0.0,8,34,linear,1,5,46
0.0,8,34,mlp,1,5,46
0.0,8,35,cardinal,1,5,50
0.0,8,35,linear,1,5,50
0.0,8,35,mlp,1,6,50
0.0,8,36,cardinal,1,3,47
0.0,8,36,linear,1,3,47
0.0,8,36,mlp,1,5,47
0.0,8,37,cardinal,1,6,45
0.0,8,37,linear,1,6,45
0.0,8,37,mlp,1,6,45
0.0,8,38,cardinal,1,3,32
0.0,8,38,linear,1,3,32
0.0,8,38,mlp,1,3,32
0.0,8,39,cardinal,1,12,51
0.0,8,39,linear,1,12,51
0.0,8,39,mlp,1,9,51
0.0,8,40,cardinal,1,3,44
0.0,8,40,linear,1,3,44
0.0,8,40,mlp,1,3,44
0.0,8,41,cardinal,1,5,46
0.0,8,41,linear,1,5,46
0.0,8,41,mlp,1,5,46
0.0,8,42,cardinal,1,8,35
0.0,8,42,linear,1,8,35
0.0,8,42,mlp,1,8,35
0.0,8,43,cardinal,1,3,56
0.0,8,43,linear,1,3,56
0.0,8,43,mlp,1,3,56
0.0,8,44,cardinal,1,9,41
0.0,8,44,linear,1,9,41
0.0,8,44,mlp,1,8,41
