density,agents,seed,method,success,expansions,cost,runtime
0.0,10,0,cardinal,1,204,68,0.08301
0.0,10,0,linear,1,98,68,0.04619
0.0,10,0,mlp,1,63,68,0.02975
0.0,10,1,cardinal,1,9,84,0.00886
0.0,10,1,linear,1,10,84,0.00988
0.0,10,1,mlp,1,7,84,0.00662
0.0,10,2,cardinal,1,5,81,0.00349
0.0,10,2,linear,1,5,81,0.00354
0.0,10,2,mlp,1,5,81,0.00373
0.0,10,3,cardinal,0,8000,,5.16845
0.0,10,3,linear,0,8000,,5.74793
0.0,10,3,mlp,0,8000,,6.21488
0.0,10,4,cardinal,1,7,51,0.00282
0.0,10,4,linear,1,7,51,0.00279
0.0,10,4,mlp,1,8,51,0.00293
0.0,10,5,cardinal,1,15,87,0.00778
0.0,10,5,linear,1,25,87,0.01168
0.0,10,5,mlp,1,47,87,0.02421
0.0,10,6,cardinal,1,4,64,0.00199
0.0,10,6,linear,1,4,64,0.00222
0.0,10,6,mlp,1,4,64,0.00205
0.0,10,7,cardinal,1,7,71,0.00343
0.0,10,7,linear,1,7,71,0.00392
0.0,10,7,mlp,1,7,71,0.0038
0.0,10,8,cardinal,1,2,68,0.0011
0.0,10,8,linear,1,2,68,0.00112
0.0,10,8,mlp,1,2,68,0.00107
0.0,10,9,cardinal,1,3,73,0.00183
0.0,10,9,linear,1,3,73,0.00186
0.0,10,9,mlp,1,3,73,0.002
0.0,10,10,cardinal,1,178,73,0.05431
0.0,10,10,linear,1,512,73,0.16629
0.0,10,10,mlp,1,578,73,0.19823
0.0,10,11,cardinal,1,5,66,0.00306
0.0,10,11,linear,1,5,66,0.00333
0.0,10,11,mlp,1,5,66,0.00323
0.0,10,12,cardinal,1,10,74,0.00616
0.0,10,12,linear,1,10,74,0.00608
0.0,10,12,mlp,1,11,74,0.00659
0.0,10,13,cardinal,1,10,53,0.00371
0.0,10,13,linear,1,8,53,0.00319
0.0,10,13,mlp,1,9,53,0.00339
0.0,10,14,cardinal,1,8,75,0.00495
0.0,10,14,linear,1,8,75,0.00498
0.0,10,14,mlp,1,8,75,0.00494
0.0,10,15,cardinal,1,4,64,0.00157
0.0,10,15,linear,1,4,64,0.00168
0.0,10,15,mlp,1,4,64,0.0018
0.0,10,16,cardinal,1,5,73,0.00277
0.0,10,16,linear,1,6,73,0.00327
0.0,10,16,mlp,1,9,73,0.00503
0.0,10,17,cardinal,1,3,60,0.00164
0.0,10,17,linear,1,3,60,0.00159
0.0,10,17,mlp,1,3,60,0.00152
0.0,10,18,cardinal,1,6,50,0.00309
0.0,10,18,linear,1,7,50,0.00328
0.0,10,18,mlp,1,7,50,0.00335
0.0,10,19,cardinal,1,5,59,0.00249
0.0,10,19,linear,1,5,59,0.00287
0.0,10,19,mlp,1,5,59,0.00284
0.0,10,20,cardinal,1,2,66,0.00087
0.0,10,20,linear,1,2,66,0.001
0.0,10,20,mlp,1,2,66,0.00098
0.0,10,21,cardinal,1,5,71,0.0031
0.0,10,21,linear,1,4,71,0.00226
0.0,10,21,mlp,1,5,71,0.00245
0.0,10,22,cardinal,1,8,80,0.00453
0.0,10,22,linear,1,8,80,0.00462
0.0,10,22,mlp,1,8,80,0.00458
0.0,10,23,cardinal,1,6,67,0.00299
0.0,10,23,linear,1,6,67,0.00312
0.0,10,23,mlp,1,6,67,0.00331
0.0,10,24,cardinal,1,4,86,0.00279
0.0,10,24,linear,1,4,86,0.00233
0.0,10,24,mlp,1,4,86,0.00256
0.0,10,25,cardinal,1,3,81,0.00167
0.0,10,25,linear,1,3,81,0.00178
0.0,10,25,mlp,1,3,81,0.00185
0.0,10,26,cardinal,1,8,74,0.0037
0.0,10,26,linear,1,8,74,0.00395
0.0,10,26,mlp,1,9,74,0.00434
0.0,10,27,cardinal,1,3,45,0.00116
0.0,10,27,linear,1,3,45,0.00135
0.0,10,27,mlp,1,3,45,0.00139
0.0,10,28,cardinal,1,8,56,0.00295
0.0,10,28,linear,1,8,56,0.00329
0.0,10,28,mlp,1,8,56,0.00349
0.0,10,29,cardinal,1,8,71,0.00508
0.0,10,29,linear,1,9,71,0.00546
0.0,10,29,mlp,1,7,71,0.00494
0.0,10,30,cardinal,1,16,86,0.00803
0.0,10,30,linear,1,11,86,0.00685
0.0,10,30,mlp,1,36,86,0.01931
0.0,10,31,cardinal,1,12,76,0.00793
0.0,10,31,linear,1,12,76,0.00737
0.0,10,31,mlp,1,18,76,0.01215
0.0,10,32,cardinal,1,4,67,0.00249
0.0,10,32,linear,1,4,67,0.00286
0.0,10,32,mlp,1,4,67,0.00276
0.0,10,33,cardinal,1,66,79,0.02607
0.0,10,33,linear,1,78,79,0.03216
0.0,10,33,mlp,1,77,79,0.03231
0.0,10,34,cardinal,1,8,84,0.0056
0.0,10,34,linear,1,7,84,0.00559
0.0,10,34,mlp,1,8,84,0.00592
0.0,10,35,cardinal,1,9,73,0.00484
0.0,10,35,linear,1,9,73,0.00478
0.0,10,35,mlp,1,8,73,0.00457
0.0,10,36,cardinal,1,4,59,0.00198
0.0,10,36,linear,1,5,59,0.00234
0.0,10,36,mlp,1,5,59,0.00256
0.0,10,37,cardinal,1,12,63,0.00531
0.0,10,37,linear,1,20,63,0.00914
0.0,10,37,mlp,1,18,63,0.00744
0.0,10,38,cardinal,1,9,61,0.00283
0.0,10,38,linear,1,9,61,0.0038
0.0,10,38,mlp,1,9,61,0.00304
0.0,10,39,cardinal,1,8,70,0.00289
0.0,10,39,linear,1,8,70,0.00355
0.0,10,39,mlp,1,8,70,0.00331
0.0,12,0,cardinal,1,206,80,0.10149
0.0,12,0,linear,1,100,80,0.05373
0.0,12,0,mlp,1,65,80,0.03676
0.0,12,1,cardinal,1,39,97,0.02894
0.0,12,1,linear,1,21,97,0.02041
0.0,12,1,mlp,1,24,97,0.0203
0.0,12,2,cardinal,1,14,90,0.00873
0.0,12,2,linear,1,14,90,0.00951
0.0,12,2,mlp,1,37,90,0.02343
0.0,12,3,cardinal,0,8000,,6.53538
0.0,12,3,linear,0,8000,,7.62298
0.0,12,3,mlp,0,8000,,8.05692
0.0,12,4,cardinal,1,10,71,0.00698
0.0,12,4,linear,1,10,71,0.00724
0.0,12,4,mlp,1,11,71,0.00736
0.0,12,5,cardinal,1,16,106,0.01021
0.0,12,5,linear,1,205,106,0.08956
0.0,12,5,mlp,1,552,106,0.3006
0.0,12,6,cardinal,1,12,83,0.00646
0.0,12,6,linear,1,8,83,0.00546
0.0,12,6,mlp,1,11,83,0.00657
0.0,12,7,cardinal,1,9,81,0.00583
0.0,12,7,linear,1,9,81,0.00539
0.0,12,7,mlp,1,9,81,0.00544
0.0,12,8,cardinal,1,82,94,0.04446
0.0,12,8,linear,1,99,94,0.05717
0.0,12,8,mlp,1,129,94,0.07251
0.0,12,9,cardinal,1,6,83,0.00354
0.0,12,9,linear,1,5,83,0.00314
0.0,12,9,mlp,1,5,83,0.00329
0.0,12,10,cardinal,1,185,81,0.06955
0.0,12,10,linear,1,151,81,0.06756
0.0,12,10,mlp,1,747,81,0.32063
0.0,12,11,cardinal,1,5,76,0.00326
0.0,12,11,linear,1,5,76,0.00357
0.0,12,11,mlp,1,5,76,0.0036
0.0,12,12,cardinal,1,12,87,0.008
0.0,12,12,linear,1,12,87,0.00833
0.0,12,12,mlp,1,14,87,0.00912
0.0,12,13,cardinal,1,13,64,0.00636
0.0,12,13,linear,1,8,64,0.00391
0.0,12,13,mlp,1,8,64,0.00384
0.0,12,14,cardinal,1,13,86,0.00843
0.0,12,14,linear,1,12,86,0.00806
0.0,12,14,mlp,1,12,86,0.00906
0.0,12,15,cardinal,1,6,77,0.00318
0.0,12,15,linear,1,6,77,0.00348
0.0,12,15,mlp,1,5,77,0.00263
0.0,12,16,cardinal,1,7,90,0.00465
0.0,12,16,linear,1,8,90,0.0054
0.0,12,16,mlp,1,12,90,0.00737
0.0,12,17,cardinal,1,5,77,0.00279
0.0,12,17,linear,1,5,77,0.00286
0.0,12,17,mlp,1,5,77,0.00294
0.0,12,18,cardinal,1,8,64,0.00554
0.0,12,18,linear,1,9,64,0.00602
0.0,12,18,mlp,1,11,64,0.00781
0.0,12,19,cardinal,1,6,72,0.00328
0.0,12,19,linear,1,6,72,0.00343
0.0,12,19,mlp,1,6,72,0.00342
0.0,12,20,cardinal,1,2,71,0.00107
0.0,12,20,linear,1,2,71,0.00114
0.0,12,20,mlp,1,2,71,0.0011
0.0,12,21,cardinal,1,6,87,0.00364
0.0,12,21,linear,1,5,87,0.00329
0.0,12,21,mlp,1,6,87,0.00354
0.0,12,22,cardinal,1,10,101,0.00753
0.0,12,22,linear,1,1124,101,0.61485
0.0,12,22,mlp,1,10,101,0.00744
0.0,12,23,cardinal,1,6,76,0.00348
0.0,12,23,linear,1,6,76,0.00372
0.0,12,23,mlp,1,6,76,0.00364
0.0,12,24,cardinal,1,5,105,0.00349
0.0,12,24,linear,1,5,105,0.00348
0.0,12,24,mlp,1,5,105,0.00354
0.0,12,25,cardinal,1,4,97,0.00293
0.0,12,25,linear,1,4,97,0.00309
0.0,12,25,mlp,1,4,97,0.00319
0.0,12,26,cardinal,1,11,89,0.00641
0.0,12,26,linear,1,11,89,0.00629
0.0,12,26,mlp,1,11,89,0.00615
0.0,12,27,cardinal,1,4,61,0.00233
0.0,12,27,linear,1,4,61,0.0026
0.0,12,27,mlp,1,4,61,0.00249
0.0,12,28,cardinal,1,8,72,0.00362
0.0,12,28,linear,1,8,72,0.00413
0.0,12,28,mlp,1,8,72,0.00405
0.0,12,29,cardinal,1,11,87,0.00748
0.0,12,29,linear,1,11,87,0.00777
0.0,12,29,mlp,1,13,87,0.00962
0.0,12,30,cardinal,1,20,104,0.01217
