density,agents,seed,method,success,expansions,cost,runtime
0.1,8,0,cardinal,1,2,44,0.00071
0.1,8,0,linear,1,2,44,0.0007
0.1,8,0,mlp,1,2,44,0.00065
0.1,8,1,cardinal,1,8,69,0.00386
0.1,8,1,linear,1,13,69,0.00601
0.1,8,1,mlp,1,13,69,0.00587
0.1,8,2,cardinal,1,6,53,0.00312
0.1,8,2,linear,1,6,53,0.00407
0.1,8,2,mlp,1,6,53,0.00414
0.1,8,3,cardinal,1,2,56,0.00084
0.1,8,3,linear,1,2,56,0.00093
0.1,8,3,mlp,1,2,56,0.00084
0.1,8,4,cardinal,1,3,56,0.00113
0.1,8,4,linear,1,3,56,0.00125
0.1,8,4,mlp,1,3,56,0.00118
0.1,8,5,cardinal,1,5,77,0.00353
0.1,8,5,linear,1,5,77,0.00368
0.1,8,5,mlp,1,5,77,0.00357
0.1,8,6,cardinal,1,6,61,0.00218
0.1,8,6,linear,1,7,61,0.00289
0.1,8,6,mlp,1,6,61,0.00231
0.1,8,7,cardinal,1,23,66,0.01306
0.1,8,7,linear,1,23,66,0.01318
0.1,8,7,mlp,1,20,66,0.01053
0.1,8,8,cardinal,1,4,60,0.00172
0.1,8,8,linear,1,4,60,0.00186
0.1,8,8,mlp,1,4,60,0.0018
0.1,8,9,cardinal,1,3,71,0.00179
0.1,8,9,linear,1,3,71,0.00191
0.1,8,9,mlp,1,3,71,0.00182
0.1,8,10,cardinal,1,9,85,0.00632
0.1,8,10,linear,1,9,85,0.00609
0.1,8,10,mlp,1,8,85,0.00567
0.1,8,11,cardinal,1,3,50,0.00089
0.1,8,11,linear,1,3,50,0.00099
0.1,8,11,mlp,1,3,50,0.0012
0.1,8,12,cardinal,1,8,46,0.00447
0.1,8,12,linear,1,5,46,0.00349
0.1,8,12,mlp,1,5,46,0.00376
0.1,8,13,cardinal,1,2,62,0.00119
0.1,8,13,linear,1,2,62,0.00128
0.1,8,13,mlp,1,2,62,0.00124
0.1,8,14,cardinal,1,5,68,0.00171
0.1,8,14,linear,1,5,68,0.00213
0.1,8,14,mlp,1,8,68,0.00245
0.1,8,15,cardinal,1,7,61,0.00363
0.1,8,15,linear,1,9,61,0.00493
0.1,8,15,mlp,1,9,61,0.00488
0.1,8,16,cardinal,1,3,66,0.00107
0.1,8,16,linear,1,3,66,0.00116
0.1,8,16,mlp,1,3,66,0.00115
0.1,8,17,cardinal,1,10,62,0.00555
0.1,8,17,linear,1,10,62,0.00574
0.1,8,17,mlp,1,10,62,0.00616
0.1,8,18,cardinal,1,2,62,0.00072
0.1,8,18,linear,1,2,62,0.00078
0.1,8,18,mlp,1,2,62,0.00085
0.1,8,19,cardinal,1,2,67,0.00115
0.1,8,19,linear,1,2,67,0.00126
0.1,8,19,mlp,1,2,67,0.00114
0.1,8,20,cardinal,1,4,51,0.00133
0.1,8,20,linear,1,4,51,0.00149
0.1,8,20,mlp,1,4,51,0.00146
0.1,8,21,cardinal,1,2,66,0.00202
0.1,8,21,linear,1,2,66,0.00115
0.1,8,21,mlp,1,2,66,0.00109
0.1,8,22,cardinal,1,7,54,0.00222
0.1,8,22,linear,1,7,54,0.00242
0.1,8,22,mlp,1,7,54,0.00248
0.1,8,23,cardinal,1,3,77,0.0015
0.1,8,23,linear,1,3,77,0.00157
0.1,8,23,mlp,1,3,77,0.0015
0.1,8,24,cardinal,1,5,70,0.00223
0.1,8,24,linear,1,4,70,0.00204
0.1,8,24,mlp,1,3,70,0.00167
0.1,8,25,cardinal,1,2,61,0.00097
0.1,8,25,linear,1,2,61,0.00105
0.1,8,25,mlp,1,2,61,0.00098
0.1,8,26,cardinal,1,2,47,0.00105
0.1,8,26,linear,1,2,47,0.00075
0.1,8,26,mlp,1,2,47,0.00072
0.1,8,27,cardinal,1,8,67,0.003
0.1,8,27,linear,1,8,67,0.00342
0.1,8,27,mlp,1,9,67,0.00313
0.1,8,28,cardinal,1,5,70,0.00207
0.1,8,28,linear,1,5,70,0.00228
0.1,8,28,mlp,1,5,70,0.00234
0.1,8,29,cardinal,1,3,67,0.00367
0.1,8,29,linear,1,3,67,0.00371
0.1,8,29,mlp,1,3,67,0.00382
0.1,10,0,cardinal,1,8,63,0.00491
0.1,10,0,linear,1,8,63,0.00505
0.1,10,0,mlp,1,8,63,0.00519
0.1,10,1,cardinal,1,119,90,0.06624
0.1,10,1,linear,1,42,90,0.02821
0.1,10,1,mlp,1,425,90,0.29132
0.1,10,2,cardinal,1,23,75,0.01173
0.1,10,2,linear,1,26,75,0.01644
0.1,10,2,mlp,1,33,75,0.01884
0.1,10,3,cardinal,1,3,75,0.00166
0.1,10,3,linear,1,3,75,0.00168
0.1,10,3,mlp,1,3,75,0.00172
0.1,10,4,cardinal,1,4,75,0.00178
0.1,10,4,linear,1,4,75,0.00187
0.1,10,4,mlp,1,4,75,0.00192
0.1,10,5,cardinal,1,6,89,0.0041
0.1,10,5,linear,1,6,89,0.00449
0.1,10,5,mlp,1,6,89,0.00392
0.1,10,6,cardinal,1,12,72,0.00489
0.1,10,6,linear,1,13,72,0.00564
0.1,10,6,mlp,1,15,72,0.00635
0.1,10,7,cardinal,1,34,80,0.02224
0.1,10,7,linear,1,29,80,0.01798
0.1,10,7,mlp,1,29,80,0.01793
0.1,10,8,cardinal,1,5,66,0.00241
0.1,10,8,linear,1,5,66,0.0026
0.1,10,8,mlp,1,5,66,0.00261
0.1,10,9,cardinal,1,6,89,0.00358
0.1,10,9,linear,1,6,89,0.00369
0.1,10,9,mlp,1,6,89,0.00396
0.1,10,10,cardinal,1,9,103,0.00683
0.1,10,10,linear,1,9,103,0.00727
0.1,10,10,mlp,1,8,103,0.00655
0.1,10,11,cardinal,1,4,65,0.00169
0.1,10,11,linear,1,4,65,0.0018
0.1,10,11,mlp,1,4,65,0.00163
0.1,10,12,cardinal,1,8,63,0.00506
0.1,10,12,linear,1,5,63,0.00383
0.1,10,12,mlp,1,5,63,0.00379
0.1,10,13,cardinal,1,3,83,0.00197
0.1,10,13,linear,1,3,83,0.00213
0.1,10,13,mlp,1,3,83,0.00204
0.1,10,14,cardinal,1,6,78,0.00244
0.1,10,14,linear,1,6,78,0.00285
0.1,10,14,mlp,1,13,78,0.00492
0.1,10,15,cardinal,1,9,68,0.0051
0.1,10,15,linear,1,9,68,0.0055
0.1,10,15,mlp,1,9,68,0.00562
0.1,10,16,cardinal,1,3,87,0.00145
0.1,10,16,linear,1,3,87,0.00149
0.1,10,16,mlp,1,3,87,0.00137
0.1,10,17,cardinal,1,13,85,0.00979
0.1,10,17,linear,1,13,85,0.01066
0.1,10,17,mlp,1,13,85,0.01035
0.1,10,18,cardinal,1,5,73,0.00201
0.1,10,18,linear,1,7,73,0.00284
0.1,10,18,mlp,1,5,73,0.00212
0.1,10,19,cardinal,1,6,85,0.00429
0.1,10,19,linear,1,6,85,0.00446
0.1,10,19,mlp,1,6,85,0.00451
0.1,10,20,cardinal,1,6,63,0.00244
0.1,10,20,linear,1,6,63,0.00254
0.1,10,20,mlp,1,6,63,0.00255
0.1,10,21,cardinal,1,3,82,0.00191
0.1,10,21,linear,1,3,82,0.00188
0.1,10,21,mlp,1,3,82,0.00188
0.1,10,22,cardinal,1,8,76,0.00388
0.1,10,22,linear,1,8,76,0.00423
0.1,10,22,mlp,1,7,76,0.00389
0.1,10,23,cardinal,1,5,89,0.00253
0.1,10,23,linear,1,5,89,0.00272
0.1,10,23,mlp,1,6,89,0.00335
0.1,10,24,cardinal,1,5,85,0.00257
0.1,10,24,linear,1,4,85,0.00235
0.1,10,24,mlp,1,3,85,0.00201
0.1,10,25,cardinal,1,3,81,0.00181
0.1,10,25,linear,1,3,81,0.00192
0.1,10,25,mlp,1,3,81,0.00185
0.1,10,26,cardinal,1,3,74,0.00219
0.1,10,26,linear,1,3,74,0.00228
0.1,10,26,mlp,1,3,74,0.0022
0.1,10,27,cardinal,1,16,93,0.0081
0.1,10,27,linear,1,15,93,0.00841
0.1,10,27,mlp,1,22,93,0.01276
0.1,10,28,cardinal,1,10,86,0.00519
