strategy,height,width,density,n_agents,seed,success,cost,expansions,generated,runtime,reason
learned-linear,8,8,0.2,6,12,1,28,8,15,0.0019,solved
learned-mlp,8,8,0.2,6,12,1,28,8,15,0.0021,solved
first,8,8,0.2,6,13,1,55,99,197,0.0219,solved
random,8,8,0.2,6,13,1,55,234,467,0.0574,solved
earliest,8,8,0.2,6,13,1,55,99,197,0.0233,solved
most-conflicts,8,8,0.2,6,13,1,55,99,197,0.0228,solved
cardinal,8,8,0.2,6,13,1,55,99,197,0.0319,solved
learned-linear,8,8,0.2,6,13,1,55,99,197,0.0341,solved
learned-mlp,8,8,0.2,6,13,1,55,117,233,0.0393,solved
first,8,8,0.2,6,14,1,38,6,11,0.0012,solved
random,8,8,0.2,6,14,1,38,6,11,0.0011,solved
earliest,8,8,0.2,6,14,1,38,6,11,0.0011,solved
most-conflicts,8,8,0.2,6,14,1,38,6,11,0.0011,solved
cardinal,8,8,0.2,6,14,1,38,6,11,0.0015,solved
learned-linear,8,8,0.2,6,14,1,38,6,11,0.0017,solved
learned-mlp,8,8,0.2,6,14,1,38,6,11,0.0016,solved
first,8,8,0.2,6,15,1,30,9,17,0.0014,solved
random,8,8,0.2,6,15,1,30,27,53,0.0042,solved
earliest,8,8,0.2,6,15,1,30,17,33,0.0025,solved
most-conflicts,8,8,0.2,6,15,1,30,17,33,0.0029,solved
cardinal,8,8,0.2,6,15,1,30,13,25,0.0025,solved
learned-linear,8,8,0.2,6,15,1,30,15,29,0.0034,solved
learned-mlp,8,8,0.2,6,15,1,30,20,39,0.0043,solved
first,8,8,0.2,6,16,1,35,6,11,0.0014,solved
random,8,8,0.2,6,16,1,35,5,9,0.0012,solved
earliest,8,8,0.2,6,16,1,35,5,9,0.0012,solved
most-conflicts,8,8,0.2,6,16,1,35,6,11,0.0014,solved
cardinal,8,8,0.2,6,16,1,35,5,9,0.0015,solved
learned-linear,8,8,0.2,6,16,1,35,6,11,0.0019,solved
learned-mlp,8,8,0.2,6,16,1,35,6,11,0.0022,solved
first,8,8,0.2,6,17,1,40,7,13,0.0011,solved
random,8,8,0.2,6,17,1,40,8,15,0.0012,solved
earliest,8,8,0.2,6,17,1,40,7,13,0.001,solved
most-conflicts,8,8,0.2,6,17,1,40,9,17,0.0013,solved
cardinal,8,8,0.2,6,17,1,40,9,17,0.0019,solved
learned-linear,8,8,0.2,6,17,1,40,7,13,0.0017,solved
learned-mlp,8,8,0.2,6,17,1,40,8,15,0.002,solved
first,8,8,0.2,6,18,1,62,3,5,0.0007,solved
random,8,8,0.2,6,18,1,62,4,7,0.0009,solved
earliest,8,8,0.2,6,18,1,62,3,5,0.0007,solved
most-conflicts,8,8,0.2,6,18,1,62,3,5,0.0007,solved
cardinal,8,8,0.2,6,18,1,62,3,5,0.0008,solved
learned-linear,8,8,0.2,6,18,1,62,5,9,0.0014,solved
learned-mlp,8,8,0.2,6,18,1,62,3,5,0.0009,solved
first,8,8,0.2,6,19,1,45,21,41,0.0053,solved
random,8,8,0.2,6,19,1,45,76,151,0.0222,solved
earliest,8,8,0.2,6,19,1,45,59,117,0.0178,solved
most-conflicts,8,8,0.2,6,19,1,45,24,47,0.0063,solved
cardinal,8,8,0.2,6,19,1,45,16,31,0.0072,solved
learned-linear,8,8,0.2,6,19,1,45,29,57,0.0177,solved
learned-mlp,8,8,0.2,6,19,1,45,24,47,0.012,solved
first,8,8,0.2,8,0,1,58,17,33,0.0036,solved
random,8,8,0.2,8,0,1,58,16,31,0.0033,solved
earliest,8,8,0.2,8,0,1,58,8,15,0.0017,solved
most-conflicts,8,8,0.2,8,0,1,58,11,21,0.0023,solved
cardinal,8,8,0.2,8,0,1,58,8,15,0.0021,solved
learned-linear,8,8,0.2,8,0,1,58,14,27,0.0038,solved
learned-mlp,8,8,0.2,8,0,1,58,15,29,0.0043,solved
first,8,8,0.2,8,1,1,64,107,213,0.0356,solved
random,8,8,0.2,8,1,1,64,189,377,0.081,solved
earliest,8,8,0.2,8,1,1,64,116,230,0.0464,solved
most-conflicts,8,8,0.2,8,1,1,64,96,191,0.0537,solved
cardinal,8,8,0.2,8,1,1,64,42,83,0.0206,solved
learned-linear,8,8,0.2,8,1,1,64,290,579,0.134,solved
learned-mlp,8,8,0.2,8,1,1,64,153,305,0.0851,solved
first,8,8,0.2,8,2,1,43,42,83,0.0076,solved
random,8,8,0.2,8,2,1,43,43,85,0.0075,solved
earliest,8,8,0.2,8,2,1,43,42,83,0.0066,solved
most-conflicts,8,8,0.2,8,2,1,43,43,85,0.0073,solved
cardinal,8,8,0.2,8,2,1,43,19,37,0.0038,solved
learned-linear,8,8,0.2,8,2,1,43,17,33,0.004,solved
learned-mlp,8,8,0.2,8,2,1,43,17,33,0.0041,solved
first,8,8,0.2,8,3,1,51,204,407,0.0412,solved
random,8,8,0.2,8,3,1,51,26,51,0.0057,solved
earliest,8,8,0.2,8,3,1,51,156,311,0.0345,solved
most-conflicts,8,8,0.2,8,3,1,51,385,769,0.0829,solved
cardinal,8,8,0.2,8,3,1,51,18,35,0.0059,solved
learned-linear,8,8,0.2,8,3,1,51,17,33,0.006,solved
learned-mlp,8,8,0.2,8,3,1,51,13,25,0.0049,solved
first,8,8,0.2,8,4,1,67,504,1007,0.1684,solved
random,8,8,0.2,8,4,1,67,131,261,0.0424,solved
earliest,8,8,0.2,8,4,1,67,385,769,0.1056,solved
most-conflicts,8,8,0.2,8,4,1,67,116,231,0.033,solved
cardinal,8,8,0.2,8,4,1,67,14,27,0.0054,solved
learned-linear,8,8,0.2,8,4,1,67,12,23,0.0053,solved
learned-mlp,8,8,0.2,8,4,1,67,10,19,0.0049,solved
first,8,8,0.2,8,5,1,46,35,69,0.0071,solved
random,8,8,0.2,8,5,1,46,38,75,0.0071,solved
earliest,8,8,0.2,8,5,1,46,21,41,0.004,solved
most-conflicts,8,8,0.2,8,5,1,46,13,25,0.0027,solved
cardinal,8,8,0.2,8,5,1,46,22,43,0.0055,solved
learned-linear,8,8,0.2,8,5,1,46,51,101,0.0136,solved
learned-mlp,8,8,0.2,8,5,1,46,48,95,0.0126,solved
first,8,8,0.2,8,6,1,54,14,27,0.0031,solved
random,8,8,0.2,8,6,1,54,18,35,0.0039,solved
earliest,8,8,0.2,8,6,1,54,12,23,0.0026,solved
most-conflicts,8,8,0.2,8,6,1,54,14,27,0.0032,solved
cardinal,8,8,0.2,8,6,1,54,10,19,0.0028,solved
learned-linear,8,8,0.2,8,6,1,54,21,41,0.006,solved
learned-mlp,8,8,0.2,8,6,1,54,14,27,0.0039,solved
first,8,8,0.2,8,7,1,42,3,5,0.0005,solved
random,8,8,0.2,8,7,1,42,3,5,0.0005,solved
earliest,8,8,0.2,8,7,1,42,3,5,0.0005,solved
most-conflicts,8,8,0.2,8,7,1,42,3,5,0.0005,solved
cardinal,8,8,0.2,8,7,1,42,3,5,0.0006,solved
learned-linear,8,8,0.2,8,7,1,42,3,5,0.0008,solved
learned-mlp,8,8,0.2,8,7,1,42,3,5,0.0007,solved
first,8,8,0.2,8,8,1,59,2739,5477,0.7275,solved
random,8,8,0.2,8,8,1,59,2874,5747,0.7362,solved
earliest,8,8,0.2,8,8,1,59,202,403,0.0472,solved
most-conflicts,8,8,0.2,8,8,1,59,632,1263,0.1675,solved
cardinal,8,8,0.2,8,8,1,59,74,147,0.0225,solved
learned-linear,8,8,0.2,8,8,1,59,2448,4895,0.8294,solved
learned-mlp,8,8,0.2,8,8,1,59,508,1015,0.1792,solved
first,8,8,0.2,8,9,1,62,431,861,0.145,solved
random,8,8,0.2,8,9,1,62,183,365,0.0703,solved
earliest,8,8,0.2,8,9,1,62,226,451,0.0828,solved
most-conflicts,8,8,0.2,8,9,1,62,51,101,0.0152,solved
cardinal,8,8,0.2,8,9,1,62,18,35,0.008,solved
learned-linear,8,8,0.2,8,9,1,62,9,17,0.0043,solved
learned-mlp,8,8,0.2,8,9,1,62,9,17,0.0043,solved
first,8,8,0.2,8,10,0,,3000,6001,0.9659,node_limit
random,8,8,0.2,8,10,0,,3000,6001,1.0004,node_limit
earliest,8,8,0.2,8,10,0,,3000,5991,0.7205,node_limit
most-conflicts,8,8,0.2,8,10,0,,3000,6001,1.0808,node_limit
cardinal,8,8,0.2,8,10,1,59,2325,4649,0.9296,solved
learned-linear,8,8,0.2,8,10,1,59,186,371,0.1217,solved
learned-mlp,8,8,0.2,8,10,1,59,687,1373,0.3442,solved
first,8,8,0.2,8,11,1,60,2367,4733,0.5405,solved
random,8,8,0.2,8,11,1,60,921,1841,0.2149,solved
earliest,8,8,0.2,8,11,0,,3000,5841,0.5834,node_limit
most-conflicts,8,8,0.2,8,11,1,60,2161,4301,0.5186,solved
cardinal,8,8,0.2,8,11,1,60,166,331,0.049,solved
learned-linear,8,8,0.2,8,11,1,60,53,105,0.0199,solved
learned-mlp,8,8,0.2,8,11,1,60,88,175,0.035,solved
first,8,8,0.2,8,12,1,38,55,109,0.0095,solved
random,8,8,0.2,8,12,1,38,12,23,0.0026,solved
earliest,8,8,0.2,8,12,1,38,32,63,0.0054,solved
most-conflicts,8,8,0.2,8,12,1,38,27,53,0.0047,solved
cardinal,8,8,0.2,8,12,1,38,12,23,0.0028,solved
learned-linear,8,8,0.2,8,12,1,38,66,131,0.0161,solved
learned-mlp,8,8,0.2,8,12,1,38,42,83,0.0107,solved
first,8,8,0.2,8,13,0,,3000,6001,1.0092,node_limit
random,8,8,0.2,8,13,0,,3000,6001,0.8494,node_limit
earliest,8,8,0.2,8,13,0,,3000,6001,0.7299,node_limit
most-conflicts,8,8,0.2,8,13,0,,3000,6001,0.9378,node_limit
cardinal,8,8,0.2,8,13,1,77,1991,3981,0.6242,solved
learned-linear,8,8,0.2,8,13,1,77,2254,4507,1.1236,solved
learned-mlp,8,8,0.2,8,13,1,77,2130,4259,0.9308,solved
first,8,8,0.2,8,14,1,49,205,409,0.0764,solved
random,8,8,0.2,8,14,1,49,58,115,0.0163,solved
earliest,8,8,0.2,8,14,1,49,146,291,0.0387,solved
most-conflicts,8,8,0.2,8,14,1,49,162,323,0.0518,solved
cardinal,8,8,0.2,8,14,1,49,21,41,0.0077,solved
learned-linear,8,8,0.2,8,14,1,49,15,29,0.0067,solved
learned-mlp,8,8,0.2,8,14,1,49,21,41,0.0091,solved
first,8,8,0.2,8,15,1,42,1449,2897,0.318,solved
random,8,8,0.2,8,15,1,42,955,1909,0.1938,solved
earliest,8,8,0.2,8,15,1,42,566,1131,0.104,solved
most-conflicts,8,8,0.2,8,15,1,42,2479,4957,0.6202,solved
cardinal,8,8,0.2,8,15,1,42,181,361,0.0437,solved
learned-linear,8,8,0.2,8,15,1,42,604,1207,0.1718,solved
learned-mlp,8,8,0.2,8,15,1,42,712,1423,0.206,solved
first,8,8,0.2,8,16,1,45,8,15,0.002,solved
random,8,8,0.2,8,16,1,45,13,25,0.0031,solved
earliest,8,8,0.2,8,16,1,45,11,21,0.0026,solved
most-conflicts,8,8,0.2,8,16,1,45,8,15,0.002,solved
cardinal,8,8,0.2,8,16,1,45,7,13,0.0022,solved
learned-linear,8,8,0.2,8,16,1,45,9,17,0.0031,solved
learned-mlp,8,8,0.2,8,16,1,45,9,17,0.003,solved
first,8,8,0.2,8,17,1,53,53,105,0.0097,solved
random,8,8,0.2,8,17,1,53,46,91,0.0082,solved
earliest,8,8,0.2,8,17,1,53,37,73,0.0063,solved
most-conflicts,8,8,0.2,8,17,1,53,77,153,0.0143,solved
cardinal,8,8,0.2,8,17,1,53,17,33,0.0041,solved
learned-linear,8,8,0.2,8,17,1,53,14,27,0.0043,solved
learned-mlp,8,8,0.2,8,17,1,53,15,29,0.0044,solved
first,8,8,0.2,8,18,1,74,7,13,0.0018,solved
random,8,8,0.2,8,18,1,74,6,11,0.0017,solved
earliest,8,8,0.2,8,18,1,74,6,11,0.0017,solved
most-conflicts,8,8,0.2,8,18,1,74,8,15,0.0022,solved
cardinal,8,8,0.2,8,18,1,74,6,11,0.0021,solved
learned-linear,8,8,0.2,8,18,1,74,6,11,0.0023,solved
learned-mlp,8,8,0.2,8,18,1,74,5,9,0.0019,solved
first,8,8,0.2,8,19,1,60,237,473,0.0768,solved
random,8,8,0.2,8,19,1,60,124,247,0.042,solved
earliest,8,8,0.2,8,19,1,60,1088,2175,0.3938,solved
most-conflicts,8,8,0.2,8,19,1,60,237,473,0.0802,solved
cardinal,8,8,0.2,8,19,1,60,74,147,0.0332,solved
learned-linear,8,8,0.2,8,19,1,60,44,87,0.0275,solved
learned-mlp,8,8,0.2,8,19,1,60,39,77,0.0307,solved
first,8,8,0.2,10,0,1,77,1379,2757,0.4013,solved
random,8,8,0.2,10,0,1,77,626,1251,0.1786,solved
earliest,8,8,0.2,10,0,1,77,615,1229,0.1753,solved
most-conflicts,8,8,0.2,10,0,1,77,413,825,0.1263,solved
cardinal,8,8,0.2,10,0,1,77,68,135,0.0227,solved
learned-linear,8,8,0.2,10,0,1,77,374,747,0.1487,solved
learned-mlp,8,8,0.2,10,0,1,77,192,383,0.0735,solved
first,8,8,0.2,10,1,1,80,1219,2437,0.423,solved
random,8,8,0.2,10,1,1,80,1585,3169,0.7315,solved
earliest,8,8,0.2,10,1,1,80,1112,2219,0.4357,solved
most-conflicts,8,8,0.2,10,1,1,80,526,1051,0.204,solved
cardinal,8,8,0.2,10,1,1,80,371,741,0.1845,solved
learned-linear,8,8,0.2,10,1,1,80,2182,4363,1.1244,solved
learned-mlp,8,8,0.2,10,1,1,80,551,1101,0.3139,solved
first,8,8,0.2,10,2,0,,3000,6001,1.0143,node_limit
random,8,8,0.2,10,2,0,,3000,6001,0.7623,node_limit
earliest,8,8,0.2,10,2,0,,3000,6001,0.738,node_limit
most-conflicts,8,8,0.2,10,2,0,,3000,6001,0.8208,node_limit
cardinal,8,8,0.2,10,2,1,55,417,833,0.118,solved
learned-linear,8,8,0.2,10,2,1,55,891,1781,0.3134,solved
learned-mlp,8,8,0.2,10,2,1,55,698,1395,0.2484,solved
first,8,8,0.2,10,3,1,58,229,457,0.0591,solved
random,8,8,0.2,10,3,1,58,27,53,0.0084,solved
earliest,8,8,0.2,10,3,1,58,209,417,0.0539,solved
most-conflicts,8,8,0.2,10,3,1,58,19,37,0.0057,solved
cardinal,8,8,0.2,10,3,1,58,21,41,0.0082,solved
learned-linear,8,8,0.2,10,3,1,58,19,37,0.0086,solved
learned-mlp,8,8,0.2,10,3,1,58,15,29,0.0064,solved
first,8,8,0.2,10,4,0,,3000,6001,1.4586,node_limit
random,8,8,0.2,10,4,0,,3000,6001,1.5273,node_limit
earliest,8,8,0.2,10,4,0,,3000,6001,1.0195,node_limit
most-conflicts,8,8,0.2,10,4,0,,3000,6001,1.5268,node_limit
cardinal,8,8,0.2,10,4,1,77,189,377,0.1089,solved
learned-linear,8,8,0.2,10,4,0,,3000,6001,1.9947,node_limit
learned-mlp,8,8,0.2,10,4,0,,3000,6001,2.0311,node_limit
first,8,8,0.2,10,5,0,,3000,6001,0.7466,node_limit
random,8,8,0.2,10,5,0,,3000,6001,0.8232,node_limit
earliest,8,8,0.2,10,5,0,,3000,5999,0.7724,node_limit
most-conflicts,8,8,0.2,10,5,0,,3000,6001,0.8028,node_limit
cardinal,8,8,0.2,10,5,1,68,456,911,0.1276,solved
learned-linear,8,8,0.2,10,5,0,,3000,6001,0.9606,node_limit
learned-mlp,8,8,0.2,10,5,1,68,1693,3385,0.5872,solved
first,8,8,0.2,10,6,1,60,44,87,0.0121,solved
random,8,8,0.2,10,6,1,60,61,121,0.016,solved
earliest,8,8,0.2,10,6,1,60,53,105,0.014,solved
most-conflicts,8,8,0.2,10,6,1,60,47,93,0.0139,solved
cardinal,8,8,0.2,10,6,1,60,16,31,0.0051,solved
learned-linear,8,8,0.2,10,6,1,60,57,113,0.0203,solved
learned-mlp,8,8,0.2,10,6,1,60,37,73,0.0124,solved
first,8,8,0.2,10,7,1,52,4,7,0.0009,solved
random,8,8,0.2,10,7,1,52,8,15,0.0017,solved
earliest,8,8,0.2,10,7,1,52,4,7,0.0009,solved
most-conflicts,8,8,0.2,10,7,1,52,4,7,0.0009,solved
cardinal,8,8,0.2,10,7,1,52,4,7,0.0012,solved
learned-linear,8,8,0.2,10,7,1,52,4,7,0.0013,solved
learned-mlp,8,8,0.2,10,7,1,52,4,7,0.0012,solved
first,8,8,0.2,10,8,0,,3000,6001,0.9567,node_limit
random,8,8,0.2,10,8,0,,3000,6001,1.0452,node_limit
earliest,8,8,0.2,10,8,1,71,937,1873,0.273,solved
most-conflicts,8,8,0.2,10,8,0,,3000,6001,0.9444,node_limit
cardinal,8,8,0.2,10,8,1,71,93,185,0.0344,solved
learned-linear,8,8,0.2,10,8,0,,3000,6001,1.2372,node_limit
learned-mlp,8,8,0.2,10,8,1,71,2014,4027,1.0423,solved
first,8,8,0.2,10,9,0,,3000,6001,1.2766,node_limit
random,8,8,0.2,10,9,1,78,2864,5727,1.2508,solved
earliest,8,8,0.2,10,9,1,78,1259,2517,0.4487,solved
most-conflicts,8,8,0.2,10,9,0,,3000,6001,1.3013,node_limit
cardinal,8,8,0.2,10,9,1,78,30,59,0.0176,solved
learned-linear,8,8,0.2,10,9,1,78,641,1281,0.3956,solved
learned-mlp,8,8,0.2,10,9,1,78,130,259,0.0771,solved
first,8,8,0.2,10,10,0,,3000,6001,1.2457,node_limit
random,8,8,0.2,10,10,0,,3000,6001,1.1497,node_limit
earliest,8,8,0.2,10,10,0,,3000,6001,0.8877,node_limit
most-conflicts,8,8,0.2,10,10,0,,3000,6001,1.2662,node_limit
cardinal,8,8,0.2,10,10,0,,3000,6001,1.6006,node_limit
learned-linear,8,8,0.2,10,10,1,84,484,967,0.5151,solved
learned-mlp,8,8,0.2,10,10,0,,3000,6001,1.9891,node_limit
first,8,8,0.2,10,11,1,72,2367,4733,0.7197,solved
random,8,8,0.2,10,11,1,72,1870,3739,0.5763,solved
earliest,8,8,0.2,10,11,0,,3000,5874,0.7781,node_limit
most-conflicts,8,8,0.2,10,11,1,72,1691,3365,0.5454,solved
cardinal,8,8,0.2,10,11,1,72,163,325,0.0586,solved
learned-linear,8,8,0.2,10,11,1,72,50,99,0.0232,solved
learned-mlp,8,8,0.2,10,11,1,72,115,229,0.0533,solved
first,8,8,0.2,10,12,1,60,99,197,0.0301,solved
random,8,8,0.2,10,12,1,60,261,521,0.096,solved
earliest,8,8,0.2,10,12,1,60,250,499,0.0764,solved
most-conflicts,8,8,0.2,10,12,1,60,76,151,0.0256,solved
cardinal,8,8,0.2,10,12,1,60,22,43,0.0097,solved
learned-linear,8,8,0.2,10,12,1,60,71,141,0.0306,solved
learned-mlp,8,8,0.2,10,12,1,60,64,127,0.032,solved
first,8,8,0.2,10,13,0,,3000,6001,1.41,node_limit
random,8,8,0.2,10,13,0,,3000,6001,1.0762,node_limit
earliest,8,8,0.2,10,13,0,,3000,6001,0.94,node_limit
most-conflicts,8,8,0.2,10,13,0,,3000,6001,1.2986,node_limit
cardinal,8,8,0.2,10,13,0,,3000,6001,1.3628,node_limit
learned-linear,8,8,0.2,10,13,0,,3000,6001,2.0136,node_limit
learned-mlp,8,8,0.2,10,13,0,,3000,6001,2.2569,node_limit
first,8,8,0.2,10,14,0,,3000,6001,0.954,node_limit
random,8,8,0.2,10,14,1,57,909,1817,0.2875,solved
earliest,8,8,0.2,10,14,1,57,1381,2761,0.4039,solved
most-conflicts,8,8,0.2,10,14,0,,3000,6001,1.0504,node_limit
cardinal,8,8,0.2,10,14,1,57,83,165,0.0295,solved
learned-linear,8,8,0.2,10,14,1,57,38,75,0.016,solved
learned-mlp,8,8,0.2,10,14,1,57,39,77,0.0182,solved
first,8,8,0.2,10,15,0,,3000,6001,0.891,node_limit
random,8,8,0.2,10,15,0,,3000,6001,0.7771,node_limit
earliest,8,8,0.2,10,15,0,,3000,5987,0.7393,node_limit
most-conflicts,8,8,0.2,10,15,0,,3000,5999,0.8904,node_limit
cardinal,8,8,0.2,10,15,1,56,1206,2411,0.3506,solved
learned-linear,8,8,0.2,10,15,0,,3000,6001,1.1485,node_limit
learned-mlp,8,8,0.2,10,15,0,,3000,6001,1.1814,node_limit
first,8,8,0.2,10,16,1,50,8,15,0.0025,solved
random,8,8,0.2,10,16,1,50,13,25,0.0039,solved
earliest,8,8,0.2,10,16,1,50,11,21,0.0033,solved
most-conflicts,8,8,0.2,10,16,1,50,8,15,0.0026,solved
cardinal,8,8,0.2,10,16,1,50,7,13,0.0027,solved
learned-linear,8,8,0.2,10,16,1,50,9,17,0.0038,solved
learned-mlp,8,8,0.2,10,16,1,50,9,17,0.0035,solved
first,8,8,0.2,10,17,0,,3000,6001,1.581,node_limit
random,8,8,0.2,10,17,0,,3000,6000,1.324,node_limit
earliest,8,8,0.2,10,17,0,,3000,5989,1.0409,node_limit
most-conflicts,8,8,0.2,10,17,0,,3000,6001,1.1865,node_limit
cardinal,8,8,0.2,10,17,1,80,1625,3249,0.8169,solved
learned-linear,8,8,0.2,10,17,0,,3000,6001,1.9742,node_limit
learned-mlp,8,8,0.2,10,17,1,80,401,801,0.3413,solved
first,8,8,0.2,10,18,1,91,1081,2161,0.5135,solved
random,8,8,0.2,10,18,1,91,579,1157,0.2444,solved
earliest,8,8,0.2,10,18,1,91,542,1083,0.2421,solved
most-conflicts,8,8,0.2,10,18,1,91,2313,4625,1.0321,solved
cardinal,8,8,0.2,10,18,1,91,418,835,0.2363,solved
learned-linear,8,8,0.2,10,18,1,91,482,963,0.2635,solved
learned-mlp,8,8,0.2,10,18,1,91,306,611,0.1576,solved
first,8,8,0.2,10,19,0,,3000,6001,1.3998,node_limit
random,8,8,0.2,10,19,0,,3000,6001,1.3317,node_limit
earliest,8,8,0.2,10,19,0,,3000,5998,1.0659,node_limit
most-conflicts,8,8,0.2,10,19,0,,3000,6001,1.3596,node_limit
cardinal,8,8,0.2,10,19,0,,3000,6001,1.6137,node_limit
learned-linear,8,8,0.2,10,19,0,,3000,6001,1.8066,node_limit
learned-mlp,8,8,0.2,10,19,1,84,2942,5883,1.7441,solved
first,8,8,0.2,12,0,0,,3000,6001,1.9087,node_limit
random,8,8,0.2,12,0,0,,3000,6001,1.1972,node_limit
earliest,8,8,0.2,12,0,0,,3000,5987,1.0733,node_limit
most-conflicts,8,8,0.2,12,0,0,,3000,5999,1.1616,node_limit
cardinal,8,8,0.2,12,0,0,,3000,6001,1.3458,node_limit
learned-linear,8,8,0.2,12,0,0,,3000,6001,1.7116,node_limit
learned-mlp,8,8,0.2,12,0,0,,3000,6001,1.6492,node_limit
first,8,8,0.2,12,1,0,,3000,6001,1.2008,node_limit
random,8,8,0.2,12,1,0,,3000,6000,1.3032,node_limit
earliest,8,8,0.2,12,1,0,,3000,5916,1.1075,node_limit
most-conflicts,8,8,0.2,12,1,0,,3000,5998,1.4696,node_limit
cardinal,8,8,0.2,12,1,1,91,1874,3747,0.8663,solved
learned-linear,8,8,0.2,12,1,0,,3000,6001,1.5632,node_limit
learned-mlp,8,8,0.2,12,1,0,,3000,6001,1.733,node_limit
first,8,8,0.2,12,2,0,,3000,6001,1.2668,node_limit
random,8,8,0.2,12,2,0,,3000,6001,0.9277,node_limit
earliest,8,8,0.2,12,2,0,,3000,6001,0.9064,node_limit
most-conflicts,8,8,0.2,12,2,0,,3000,6001,1.0877,node_limit
cardinal,8,8,0.2,12,2,1,63,636,1271,0.21,solved
learned-linear,8,8,0.2,12,2,1,63,1300,2599,0.5575,solved
learned-mlp,8,8,0.2,12,2,1,63,1094,2187,0.4611,solved
first,8,8,0.2,12,3,1,72,278,555,0.0903,solved
random,8,8,0.2,12,3,1,72,1227,2453,0.4319,solved
earliest,8,8,0.2,12,3,1,72,1221,2439,0.3901,solved
most-conflicts,8,8,0.2,12,3,1,72,217,433,0.0791,solved
cardinal,8,8,0.2,12,3,1,72,34,67,0.0151,solved
learned-linear,8,8,0.2,12,3,1,72,56,111,0.0304,solved
learned-mlp,8,8,0.2,12,3,1,72,144,287,0.073,solved
first,8,8,0.2,12,4,0,,3000,6001,1.4734,node_limit
random,8,8,0.2,12,4,0,,3000,6001,1.4806,node_limit
earliest,8,8,0.2,12,4,0,,3000,6001,1.1056,node_limit
most-conflicts,8,8,0.2,12,4,0,,3000,5999,1.9009,node_limit
cardinal,8,8,0.2,12,4,1,98,1527,3053,0.93,solved
learned-linear,8,8,0.2,12,4,0,,3000,6001,2.4199,node_limit
learned-mlp,8,8,0.2,12,4,0,,3000,6001,2.353,node_limit
first,8,8,0.2,12,5,0,,3000,6001,1.0451,node_limit
random,8,8,0.2,12,5,0,,3000,6001,1.0874,node_limit
earliest,8,8,0.2,12,5,0,,3000,5987,0.9223,node_limit
most-conflicts,8,8,0.2,12,5,0,,3000,5998,1.0468,node_limit
cardinal,8,8,0.2,12,5,1,74,616,1231,0.2579,solved
learned-linear,8,8,0.2,12,5,0,,3000,6001,1.3163,node_limit
learned-mlp,8,8,0.2,12,5,0,,3000,6001,1.3754,node_limit
first,8,8,0.2,12,6,1,69,198,395,0.0684,solved
random,8,8,0.2,12,6,1,69,48,95,0.0153,solved
earliest,8,8,0.2,12,6,1,69,17,33,0.0053,solved
most-conflicts,8,8,0.2,12,6,1,69,114,227,0.0389,solved
cardinal,8,8,0.2,12,6,1,69,11,21,0.0045,solved
learned-linear,8,8,0.2,12,6,1,69,12,23,0.0058,solved
learned-mlp,8,8,0.2,12,6,1,69,12,23,0.0056,solved
first,8,8,0.2,12,7,1,64,16,31,0.004,solved
random,8,8,0.2,12,7,1,64,19,37,0.0048,solved
earliest,8,8,0.2,12,7,1,64,18,35,0.0049,solved
most-conflicts,8,8,0.2,12,7,1,64,47,93,0.0115,solved
cardinal,8,8,0.2,12,7,1,64,11,21,0.0035,solved
learned-linear,8,8,0.2,12,7,1,64,15,29,0.005,solved
learned-mlp,8,8,0.2,12,7,1,64,13,25,0.0048,solved
first,8,8,0.2,12,8,0,,3000,6001,1.6349,node_limit
random,8,8,0.2,12,8,0,,3000,6001,1.2637,node_limit
earliest,8,8,0.2,12,8,0,,3000,6001,1.1074,node_limit
most-conflicts,8,8,0.2,12,8,0,,3000,6001,1.339,node_limit
cardinal,8,8,0.2,12,8,1,89,175,349,0.1196,solved
learned-linear,8,8,0.2,12,8,0,,3000,6001,1.5859,node_limit
learned-mlp,8,8,0.2,12,8,0,,3000,6001,1.7917,node_limit
first,8,8,0.2,12,9,0,,3000,6001,1.5557,node_limit
random,8,8,0.2,12,9,0,,3000,6001,1.4792,node_limit
earliest,8,8,0.2,12,9,0,,3000,6001,1.2778,node_limit
most-conflicts,8,8,0.2,12,9,0,,3000,6001,2.0152,node_limit
cardinal,8,8,0.2,12,9,1,102,118,235,0.0675,solved
learned-linear,8,8,0.2,12,9,1,102,1396,2791,0.8675,solved
learned-mlp,8,8,0.2,12,9,1,102,90,179,0.0565,solved
first,8,8,0.2,12,10,0,,3000,6001,1.529,node_limit
random,8,8,0.2,12,10,0,,3000,6001,1.4736,node_limit
earliest,8,8,0.2,12,10,0,,3000,5996,1.1324,node_limit
most-conflicts,8,8,0.2,12,10,0,,3000,6001,1.3323,node_limit
cardinal,8,8,0.2,12,10,0,,3000,6001,1.545,node_limit
learned-linear,8,8,0.2,12,10,1,90,484,967,0.5401,solved
learned-mlp,8,8,0.2,12,10,0,,3000,6001,2.2844,node_limit
first,8,8,0.2,12,11,1,80,2368,4735,0.8367,solved
random,8,8,0.2,12,11,1,80,2981,5961,1.0612,solved
earliest,8,8,0.2,12,11,0,,3000,5888,0.9022,node_limit
most-conflicts,8,8,0.2,12,11,1,80,2219,4421,0.7594,solved
cardinal,8,8,0.2,12,11,1,80,162,323,0.0685,solved
learned-linear,8,8,0.2,12,11,1,80,51,101,0.027,solved
learned-mlp,8,8,0.2,12,11,1,80,115,229,0.0646,solved
